,precision,recall,f1-score,support
bumper_dent,0.7777777777777778,0.7,0.7368421052631579,20.0
bumper_scratch,0.8571428571428571,0.75,0.8,24.0
door_dent,0.75,0.6206896551724138,0.6792452830188679,29.0
door_scratch,0.6896551724137931,0.8333333333333334,0.7547169811320755,24.0
glass_shatter,0.8888888888888888,0.7619047619047619,0.8205128205128205,21.0
head_lamp,0.64,0.8,0.7111111111111111,20.0
tail_lamp,0.7083333333333334,0.8095238095238095,0.7555555555555555,21.0
accuracy,0.7484276729559748,0.7484276729559748,0.7484276729559748,0.7484276729559748
macro avg,0.7588282899366643,0.7536359371334741,0.7511405509419412,159.0
weighted avg,0.759562106487936,0.7484276729559748,0.748854219997725,159.0
