epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,382.494,1.82212,4.82235,2.23625,0.57744,0.13348,0.08742,0.03886,1.89212,7.0231,2.73793,0.00019998,0.00019998,0.00019998
2,728.931,1.61975,3.02488,1.90532,0.54152,0.08135,0.12258,0.04309,2.16356,5.21417,3.14481,0.000400951,0.000400951,0.000400951
3,1043.65,1.54724,2.77544,1.8818,0.36731,0.23401,0.09421,0.0365,2.01271,3.612,3.0414,0.000593642,0.000593642,0.000593642
4,1368.95,1.60284,2.66384,1.94838,0.46549,0.24078,0.06503,0.01831,2.31894,5.8117,3.28282,0.000778055,0.000778055,0.000778055
5,1738.95,1.64535,2.46609,1.9356,0.63125,0.18574,0.16512,0.04358,2.27974,5.34769,3.26255,0.000837007,0.000837007,0.000837007
6,2070.89,1.68157,2.54071,1.98411,0.27205,0.24874,0.12007,0.0513,2.42039,3.63398,3.38484,0.000819009,0.000819009,0.000819009
7,2396.25,1.62317,2.43953,1.92859,0.08157,0.2721,0.10372,0.03411,2.5214,3.40956,3.43898,0.000801011,0.000801011,0.000801011
8,2723.56,1.69578,2.30112,1.96953,0.15389,0.24546,0.13145,0.04075,2.38651,3.20948,3.13493,0.000783013,0.000783013,0.000783013
9,3047.73,1.6003,2.24654,1.8857,0.15153,0.31835,0.26026,0.10381,2.00568,3.50541,2.85521,0.000765014,0.000765014,0.000765014
10,3363.49,1.54584,2.26845,1.85321,0.26865,0.41236,0.32219,0.11169,2.29535,2.60834,2.95928,0.000747016,0.000747016,0.000747016
11,308.517,1.63409,2.34372,1.95015,0.29553,0.3408,0.30957,0.13794,2.06035,2.52708,2.71726,0.000729018,0.000729018,0.000729018
12,636.135,1.67287,2.25225,1.88438,0.335,0.36532,0.26474,0.09541,2.31563,2.67716,2.91108,0.00071102,0.00071102,0.00071102
13,969.133,1.5253,2.14429,1.83937,0.44511,0.30288,0.31978,0.13056,2.12192,2.6966,2.86732,0.000693022,0.000693022,0.000693022
14,1279.47,1.54408,2.12598,1.84832,0.41168,0.4187,0.39622,0.17268,1.98534,2.29332,2.77627,0.000675023,0.000675023,0.000675023
15,1567.41,1.46545,2.04023,1.78635,0.2649,0.36278,0.30506,0.13282,2.09485,2.37926,2.78412,0.000657025,0.000657025,0.000657025
16,1857.02,1.51462,2.02193,1.81756,0.52293,0.42786,0.40942,0.18598,1.96847,2.20637,2.59757,0.000639027,0.000639027,0.000639027
17,2144.74,1.49191,1.96475,1.78599,0.65121,0.39946,0.41885,0.17112,2.20336,2.22124,2.84084,0.000621029,0.000621029,0.000621029
18,2433.44,1.50505,1.85829,1.80093,0.5341,0.33197,0.38625,0.15816,2.15165,2.15697,2.82732,0.000603031,0.000603031,0.000603031
19,2736.63,1.46303,1.83421,1.75723,0.57468,0.3713,0.37045,0.12856,2.28058,2.32967,3.07355,0.000585032,0.000585032,0.000585032
20,3060.38,1.36257,1.80402,1.68385,0.27177,0.4899,0.35148,0.15809,2.08098,2.45852,2.83939,0.000567034,0.000567034,0.000567034
21,3390.82,1.44147,1.91577,1.78197,0.28787,0.47902,0.37903,0.15781,2.19779,2.15255,2.95845,0.000549036,0.000549036,0.000549036
22,3721.77,1.47357,1.84912,1.77373,0.43966,0.45142,0.43827,0.18169,2.08331,1.94436,2.71211,0.000531038,0.000531038,0.000531038
23,4072.2,1.42348,1.83369,1.73828,0.62865,0.429,0.44987,0.20676,2.00492,1.98297,2.6915,0.00051304,0.00051304,0.00051304
24,4404.82,1.3899,1.76803,1.70795,0.66609,0.44627,0.50607,0.23522,2.02837,1.89477,2.64523,0.000495041,0.000495041,0.000495041
25,4764.33,1.35685,1.75269,1.71283,0.75126,0.33716,0.41346,0.18775,2.14086,2.21264,2.90211,0.000477043,0.000477043,0.000477043
26,5115.63,1.37055,1.68855,1.69034,0.44682,0.34959,0.35313,0.15415,2.05307,2.49077,2.75453,0.000459045,0.000459045,0.000459045
27,5478.03,1.38629,1.66712,1.69261,0.49578,0.45281,0.46106,0.21647,2.01024,2.09007,2.68188,0.000441047,0.000441047,0.000441047
28,5769.33,1.41856,1.64245,1.73397,0.59658,0.51072,0.48372,0.19894,2.07482,1.97849,2.69262,0.000423049,0.000423049,0.000423049
29,6066.1,1.26879,1.56148,1.63971,0.44796,0.48872,0.43887,0.18608,2.07132,2.00805,2.69478,0.00040505,0.00040505,0.00040505
30,6366.47,1.3849,1.60158,1.67459,0.62382,0.48096,0.52081,0.18618,2.22032,2.05823,2.83045,0.000387052,0.000387052,0.000387052
31,6675.66,1.33731,1.54811,1.66207,0.44346,0.5278,0.48979,0.22301,2.07939,2.01666,2.69255,0.000369054,0.000369054,0.000369054
32,6995.42,1.30886,1.50013,1.63148,0.60926,0.49184,0.53834,0.23155,2.00266,1.90949,2.5957,0.000351056,0.000351056,0.000351056
33,7369.29,1.25424,1.50246,1.60217,0.47617,0.55578,0.50532,0.2347,1.97371,1.87322,2.64305,0.000333058,0.000333058,0.000333058
34,7713.89,1.25421,1.46178,1.61762,0.4981,0.45717,0.51103,0.21387,1.92102,1.92904,2.65344,0.000315059,0.000315059,0.000315059
35,356.415,1.21256,1.50586,1.59827,0.51812,0.50235,0.41529,0.19274,2.05375,11.4741,2.86914,0.000297061,0.000297061,0.000297061
36,754.359,1.22556,1.35678,1.71819,0.60046,0.44061,0.42798,0.17825,2.20008,8.26415,2.9373,0.000279063,0.000279063,0.000279063
37,1161.74,1.15259,1.31936,1.52263,0.68056,0.43341,0.53052,0.2232,2.10187,1.89999,2.79781,0.000261065,0.000261065,0.000261065
38,1577.95,1.10714,1.26565,1.50448,0.81227,0.3986,0.5719,0.24478,2.08139,1.87275,2.79697,0.000243067,0.000243067,0.000243067
