epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.12,1.75495,4.43747,4.74358,2.01557,0,0,0,0,0,0,0,0,1.51341,3.51838,4.73623,1.83661,0.000130233,0.000130233,0.000130233
2,149.352,1.6115,3.31667,4.52019,1.81546,0.01666,0.42162,0.06997,0.03034,0.01144,0.36424,0.05747,0.02863,1.58028,3.03621,4.54624,1.81261,0.000237473,0.000237473,0.000237473
3,215.808,1.52764,2.99122,4.21119,1.76809,0.65091,0.10307,0.06917,0.03461,0.80405,0.05515,0.06951,0.03224,1.64362,3.31413,4.66829,1.98338,0.000318313,0.000318313,0.000318313
4,281.089,1.5118,2.98531,4.05914,1.7623,0.40196,0.18398,0.12062,0.06359,0.40295,0.19231,0.12008,0.05693,1.6176,3.23521,4.33515,1.91048,0.0002812,0.0002812,0.0002812
5,351.897,1.5118,2.90422,3.92762,1.73302,0.46896,0.18551,0.15313,0.09154,0.46896,0.18551,0.15139,0.08217,1.57312,2.97971,4.00199,1.72231,0.0002416,0.0002416,0.0002416
6,431.037,1.44925,2.83104,3.788,1.70161,0.5915,0.13316,0.15981,0.08735,0.5915,0.13316,0.15802,0.0713,1.55956,2.97874,3.93002,1.72088,0.000202,0.000202,0.000202
7,499.372,1.44527,2.68139,3.64491,1.67655,0.57616,0.19476,0.16327,0.0913,0.57616,0.19476,0.16231,0.08313,1.58356,2.87125,3.78067,1.71164,0.0001624,0.0001624,0.0001624
8,561.398,1.40345,2.55792,3.63187,1.64121,0.4985,0.17029,0.16689,0.0951,0.4985,0.17029,0.16258,0.08632,1.57139,2.77377,3.70043,1.69122,0.0001228,0.0001228,0.0001228
9,628.773,1.38576,2.53996,3.57042,1.63972,0.55941,0.18966,0.20771,0.11107,0.50103,0.1731,0.1827,0.09421,1.5569,2.76786,3.62547,1.68506,8.32e-05,8.32e-05,8.32e-05
10,712.492,1.34955,2.44417,3.44384,1.58687,0.57907,0.22678,0.21494,0.12032,0.51278,0.20238,0.18856,0.09897,1.53017,2.7509,3.593,1.66854,4.36e-05,4.36e-05,4.36e-05
